Size (B),Mean Time (s),Std Dev (s)
786432,0.0002138669,6.839259502639482e-06
1572864,0.00037791530000000004,5.299345914565513e-06
3145728,0.0006802710999999999,5.422840347394843e-06
4718592,0.0009984391,1.702465206039919e-07
7077888,0.001450953,4.567501261935004e-06
9437184,0.0019612370000000002,4.683810202293765e-05
10616832,0.002168678,9.895738476738403e-06
12582912,0.0025424790000000003,3.6146106290996195e-06
14155776,0.002851979,7.816828640823614e-06
18874368,0.0037893670000000005,1.1947213575651062e-05
21233664,0.00426112,4.56079196339115e-05
24772608,0.0049399479999999996,6.373568335974302e-06
27525120,0.005468367,1.8487683617899655e-05
31457280,0.0062296719999999995,1.2951558293202589e-05
34603008,0.0068546629999999996,8.466395074384157e-06
38928384,0.007709130999999999,1.1084070100824872e-05
43253760,0.008554016999999999,1.7630965846109148e-05
47185920,0.009320565999999999,1.790724570917843e-05
51904512,0.010225099999999999,5.0181891377491815e-06
56623104,0.011178879999999999,2.377602901149731e-05
66060288,0.01299505,5.2852520175377684e-06
113246208,0.02223185,2.891398162365906e-05
226492416,0.04438911,1.0052910026456046e-05
452984832,0.08868440999999999,1.959412893927317e-05
490733568,0.09605998,2.4154263483789606e-05
566231040,0.1108527,3.260896263980952e-05
717225984,0.1403728,6.941021378577806e-06
943718400,0.184686,7.659416862047897e-06
1207959552,0.2364109,2.5683760541548116e-05
1509949440,0.295481,9.545214042181504e-06
1811939328,0.3508216,0.0002783839075808757
2113929216,0.4100363000000001,0.00022892116546969094
